id,original_tokens,no_stopwords
0,jon jones is the goat it is so unbelievably hard what he did he became champ at 23 and stay champion until today he fought the best lightweight champions in their primes he is a double champ with multiple title defenses lead in the history in title defenses basically undefeated congrat to jon jones,goat unbelievably hard became champ 23 stay champion today fought best lightweight champions primes double champ multiple title defenses lead history title defenses basically undefeated congrat
1,you can sense the aggression from jon dont touch me no friendly face off he did not want tom to be there at all,sense aggression dont touch friendly face want tom
3,jones won the round but lost the fight,round lost fight
4,it doesn t matter anyway jon you beat his ass😂😂his kids can look back now and say their dad got beat up by an asshole sucks for him not you🤝,matter anyway beat ass😂😂his kids look back say dad got beat asshole sucks you🤝
6,no knees were down i don t see how it was illegal i do however see alot of jones haters in these comments though,knees see illegal however see alot haters comments though
9,jon could easily kill him if there was no referee,could easily kill referee
10,jon had years to fight francis and didn t he s lying he s happy to talk about a fight knowing that francis is currently under contract with pfl so jon can talk without actually fighting that s what he does now,years fight francis lying happy talk fight knowing francis currently contract pfl talk without actually fighting
12,he is a quitter a lot of people wish they were in his position shame on him for even competing in this sport,quitter lot people wish position shame even competing sport
13,this fight should have never happened jones was x3 faster,fight never happened x3 faster
15,and jones does everything he can to avoid it including retiring himself 😅😅😂😂😂😂,everything avoid including retiring 😅😅😂😂😂😂
