commentId,content,publishedTime,replyLevel,authorButtonA11y,imageAttachmentMaxHeight,video_id,likeCountLiked,likeCountDisliked,replyCount
UgxYnxEheDZvIYWY2bp4AaABAg,This is Hall of Fame worthy stuff right here :face-purple-crying::text-green-game-over::hand-orange-covering-eyes::trophy-yellow-smiling:,9 minutes ago,0,@orodcollects,24.0,B6qaZfeDIH8,1,,
UgynZD5zb7Vi-FmJ6Jl4AaABAg,UFC and Boxing vids do really good here! Let's go,2 hours ago,0,@sportshulk8109,,B6qaZfeDIH8,1,,
Ugy7LZ6ieG-vBH48e294AaABAg,I knew it,2 hours ago,0,@theoriginaltimetraveller,,B6qaZfeDIH8,1,,
Ugw8VBLiCpe0NKyQZAF4AaABAg,It's like saying to the AI: Make a video of Jon Jones after taking truth serum,3 hours ago,0,@klaasvanstrien989,,B6qaZfeDIH8,1,,
UgwLPhO02pPf8ual8fR4AaABAg,Brilliant and true.,3 hours ago,0,@ThomasYoung-my4qi,,B6qaZfeDIH8,1,,
UgyT8Pof9_QsjoYXRoB4AaABAg,Fake AI,3 hours ago,0,@mickeycavalier1693,,B6qaZfeDIH8,1,,
Ugw4nSvPAVjzzb7Lypl4AaABAg,Fucking AI,3 hours ago,0,@timepluss6956,,B6qaZfeDIH8,1,,
UgzCA4jyagag4_-vN_Z4AaABAg,"""my soul fiiled for Unemployment""",3 hours ago,0,@SatSingh-mm4gg,,B6qaZfeDIH8,1,,
UgyuGVO7iWpABzQU8uF4AaABAg,Aspinall is an irrelevant nobody without chirping about Jones lol. Zero belts or legacy,4 hours ago,0,@truthtellers-b5e,,B6qaZfeDIH8,1,,
Ugz8ukSWJYXcNct8nMR4AaABAg,Dope💯,4 hours ago,0,@Saber_Matrix,,B6qaZfeDIH8,1,,
UgzL8ejJ9hNy9KCSoll4AaABAg,CLICKBAIT DON'T WASTE YOUR TIME,4 hours ago,0,@Yahn-b5r,,B6qaZfeDIH8,1,,
Ugw1_s78jjiVwQyOov94AaABAg,This feels accurate.,4 hours ago,0,@scott5476,,B6qaZfeDIH8,1,,
Ugx5R9swdxvSL8oePhl4AaABAg,"Jon Jones ducked Jan Blachowicz, Francis Ngannou, and Tom Aspinall",5 hours ago,0,@jayherbogaming,,B6qaZfeDIH8,1,,
UgzskXvhSwnmfv6S4yV4AaABAg,Jon jones will be remembered as a frightened DUCK nothing more🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,5 hours ago,0,@llllllNYU,,B6qaZfeDIH8,2,,
UgwtuOGuQ5-CxmlwKgV4AaABAg,Im fucking dead lol fucking gummies hitting. Full time duck 😂,5 hours ago,0,@highmiteyhoe3906,,B6qaZfeDIH8,1,,
UgwyJD0qUTUvhYo7tRt4AaABAg,If Jon would have just Listened. Alot of People told gim to Stop Driving. They knew he wouldn't stop partying.,5 hours ago,0,@JohnWinkelman-t4s,,B6qaZfeDIH8,1,,
Ugw0u7QM9qqXtWHd1DV4AaABAg,Really? So Tom Made you Retire the Same way you Lived your Life your whole Career? Involved in Another Intoxicated Car Crash Running from the Scene leaving behind a Naked Hooker in rhe car?,5 hours ago,0,@JohnWinkelman-t4s,,B6qaZfeDIH8,1,,
UgyaekBWWGzN9AdKj0x4AaABAg,Aspinall anxiety 😂😂😂,6 hours ago,0,@philabrd,,B6qaZfeDIH8,1,,
UgxyExEI4Ak46rngWRp4AaABAg,"Jordan Peterson was right after all…
Fiction is a metatruth.  It’s more real than real.",6 hours ago,0,@kanenas9607,,B6qaZfeDIH8,1,,
UgxN0KNagJ-4JmtVzgR4AaABAg,Doat 😂😂😂,6 hours ago,0,@Fragdaddy1042,,B6qaZfeDIH8,1,,
UgwsqOrUX3cGRtJnD-h4AaABAg,I guess they ran out of steroids  😅,6 hours ago,0,@marktzu5117,,B6qaZfeDIH8,1,,
UgxjLB91D3tGrCCb8k94AaABAg,Im the 1000th like 📌,6 hours ago,0,@JannieBon,,B6qaZfeDIH8,1,,
Ugz_pxBmIdsUQlYJNsF4AaABAg,"Hahahah dude is old, theres always someone new. He deserves to retire.",6 hours ago (edited),0,@lsplan21,,B6qaZfeDIH8,1,,
