id,original,cleaned,tokens_count,lemmas,n_tokens_changed
0,Jon Jones is the GOAT. It is so unbelievably hard what he did. He became champ at 23 and stay champion until today. He fought the best lightweight champions in their primes. He is a double champ with multiple title defenses. Lead in the history in title defenses. Basically undefeated. Congrat to Jon Jones.,jon jones is the goat it is so unbelievably hard what he did he became champ at 23 and stay champion until today he fought the best lightweight champions in their primes he is a double champ with multiple title defenses lead in the history in title defenses basically undefeated congrat to jon jones,54,jon jones is the goat it is so unbelievably hard what he did he became champ at 23 and stay champion until today he fought the best lightweight champion in their prime he is a double champ with multiple title defense lead in the history in title defense basically undefeated congrat to jon jones,4
1,"You can sense the aggression from Jon, dont touch me no friendly face off. He did not want Tom to be there at all.",you can sense the aggression from jon dont touch me no friendly face off he did not want tom to be there at all,24,you can sense the aggression from jon dont touch me no friendly face off he did not want tom to be there at all,0
2,"I guess this answers the question, "" If you put Jones and Aspinall in a room who would come out first?"" The Answer is Tom ""Duck Killa"" Aspinall.",i guess this answers the question if you put jones and aspinall in a room who would come out first the answer is tom duck killa aspinall,27,i guess this answer the question if you put jones and aspinall in a room who would come out first the answer is tom duck killa aspinall,1
3,Jones won the round but lost the fight,jones won the round but lost the fight,8,jones won the round but lost the fight,0
4,"It doesn’t matter anyway jon, you beat his ass😂😂his kids can look back now and say their dad got beat up by an “asshole” sucks for him, not you🤝",it doesn t matter anyway jon you beat his ass😂😂his kids can look back now and say their dad got beat up by an asshole sucks for him not you🤝,30,it doesn t matter anyway jon you beat his ass😂😂his kid can look back now and say their dad got beat up by an asshole suck for him not you🤝,2
5,Dc is one of the few people on earth that could tank a bomb or takedown from bones lol,dc is one of the few people on earth that could tank a bomb or takedown from bones lol,19,dc is one of the few people on earth that could tank a bomb or takedown from bone lol,1
6,No knees were down ... I don't see how it was illegal.... I do however see alot of Jones haters in these comments though,no knees were down i don t see how it was illegal i do however see alot of jones haters in these comments though,24,no knee were down i don t see how it wa illegal i do however see alot of jones hater in these comment though,4
7,Ngannou Aspinall,ngannou aspinall,2,ngannou aspinall,0
8,RIP💙,rip💙,1,rip💙,0
9,Jon could easily kill him if there was no referee,jon could easily kill him if there was no referee,10,jon could easily kill him if there wa no referee,1
10,"Jon had years to fight Francis and didn't.  He's lying.  He's happy to talk about a fight, knowing that Francis is currently under contract with PFL, so Jon can talk without actually fighting.  That's what he does now.",jon had years to fight francis and didn t he s lying he s happy to talk about a fight knowing that francis is currently under contract with pfl so jon can talk without actually fighting that s what he does now,42,jon had year to fight francis and didn t he s lying he s happy to talk about a fight knowing that francis is currently under contract with pfl so jon can talk without actually fighting that s what he doe now,2
11,Man looks older than Udonis,man looks older than udonis,5,man look older than udonis,1
12,He is a quitter a lot of people wish they were in his position shame on him for even competing in this sport,he is a quitter a lot of people wish they were in his position shame on him for even competing in this sport,23,he is a quitter a lot of people wish they were in his position shame on him for even competing in this sport,0
13,"This fight should have never happened, jones was x3 faster.",this fight should have never happened jones was x3 faster,10,this fight should have never happened jones wa x3 faster,1
14,"Jon bones siempre me ha precido una mi3rda de persona y siempre lo quiero ver perder. Pero es taan bueno y completo en su combate que a fin de cuentas lo termino respetando mucho.

Nada que ver con Conor o Topuria.. u Omalley.. etc. Ellos me caen mal y no los considero muy clmpletos.",jon bones siempre me ha precido una mi3rda de persona y siempre lo quiero ver perder pero es taan bueno y completo en su combate que a fin de cuentas lo termino respetando mucho nada que ver con conor o topuria u omalley etc ellos me caen mal y no los considero muy clmpletos,54,jon bone siempre me ha precido una mi3rda de persona y siempre lo quiero ver perder pero e taan bueno y completo en su combate que a fin de cuentas lo termino respetando mucho nada que ver con conor o topuria u omalley etc ellos me caen mal y no los considero muy clmpletos,2
15,"And jones does everything he can to avoid it, including retiring himself 😅😅😂😂😂😂",and jones does everything he can to avoid it including retiring himself 😅😅😂😂😂😂,13,and jones doe everything he can to avoid it including retiring himself 😅😅😂😂😂😂,1
