id,original,cleaned,tokens_count,lemmas,n_tokens_changed
0,Jon Jones is the GOAT. It is so unbelievably hard what he did. He became champ at 23 and stay champion until today. He fought the best lightweight champions in their primes. He is a double champ with multiple title defenses. Lead in the history in title defenses. Basically undefeated. Congrat to Jon Jones.,jon jones is the goat it is so unbelievably hard what he did he became champ at 23 and stay champion until today he fought the best lightweight champions in their primes he is a double champ with multiple title defenses lead in the history in title defenses basically undefeated congrat to jon jones,54,jon jones be the goat it be so unbelievably hard what he do he become champ at 23 and stay champion until today he fight the good lightweight champion in their prime he be a double champ with multiple title defense lead in the history in title defense basically undefeated congrat to jon jones,11
1,"You can sense the aggression from Jon, dont touch me no friendly face off. He did not want Tom to be there at all.",you can sense the aggression from jon dont touch me no friendly face off he did not want tom to be there at all,24,you can sense the aggression from jon do not touch I no friendly face off he do not want tom to be there at all,3
2,"I guess this answers the question, "" If you put Jones and Aspinall in a room who would come out first?"" The Answer is Tom ""Duck Killa"" Aspinall.",i guess this answers the question if you put jones and aspinall in a room who would come out first the answer is tom duck killa aspinall,27,I guess this answer the question if you put jones and aspinall in a room who would come out first the answer be tom duck killa aspinall,3
3,Jones won the round but lost the fight,jones won the round but lost the fight,8,jones win the round but lose the fight,2
4,"It doesn’t matter anyway jon, you beat his ass😂😂his kids can look back now and say their dad got beat up by an “asshole” sucks for him, not you🤝",it doesn t matter anyway jon you beat his ass😂😂his kids can look back now and say their dad got beat up by an asshole sucks for him not you🤝,30,it doesn t matter anyway jon you beat his ass 😂 😂 his kid can look back now and say their dad get beat up by an asshole suck for he not you 🤝,4
5,Dc is one of the few people on earth that could tank a bomb or takedown from bones lol,dc is one of the few people on earth that could tank a bomb or takedown from bones lol,19,dc be one of the few people on earth that could tank a bomb or takedown from bone lol,2
6,No knees were down ... I don't see how it was illegal.... I do however see alot of Jones haters in these comments though,no knees were down i don t see how it was illegal i do however see alot of jones haters in these comments though,24,no knee be down I don t see how it be illegal I do however see alot of jones hater in these comment though,7
7,Ngannou Aspinall,ngannou aspinall,2,ngannou aspinall,0
8,RIP💙,rip💙,1,rip 💙,0
9,Jon could easily kill him if there was no referee,jon could easily kill him if there was no referee,10,jon could easily kill he if there be no referee,2
10,"Jon had years to fight Francis and didn't.  He's lying.  He's happy to talk about a fight, knowing that Francis is currently under contract with PFL, so Jon can talk without actually fighting.  That's what he does now.",jon had years to fight francis and didn t he s lying he s happy to talk about a fight knowing that francis is currently under contract with pfl so jon can talk without actually fighting that s what he does now,42,jon have year to fight francis and didn t he s lie he s happy to talk about a fight know that francis be currently under contract with pfl so jon can talk without actually fight that s what he do now,7
11,Man looks older than Udonis,man looks older than udonis,5,man look old than udoni,3
12,He is a quitter a lot of people wish they were in his position shame on him for even competing in this sport,he is a quitter a lot of people wish they were in his position shame on him for even competing in this sport,23,he be a quitter a lot of people wish they be in his position shame on he for even compete in this sport,4
13,"This fight should have never happened, jones was x3 faster.",this fight should have never happened jones was x3 faster,10,this fight should have never happen jones be x3 fast,3
14,"Jon bones siempre me ha precido una mi3rda de persona y siempre lo quiero ver perder. Pero es taan bueno y completo en su combate que a fin de cuentas lo termino respetando mucho.

Nada que ver con Conor o Topuria.. u Omalley.. etc. Ellos me caen mal y no los considero muy clmpletos.",jon bones siempre me ha precido una mi3rda de persona y siempre lo quiero ver perder pero es taan bueno y completo en su combate que a fin de cuentas lo termino respetando mucho nada que ver con conor o topuria u omalley etc ellos me caen mal y no los considero muy clmpletos,54,jon bone siempre I ha precido una mi3rda de persona y siempre lo quiero ver perder pero es taan bueno y completo en su combate que a fin de cuentas lo termino respetando mucho nada que ver con conor o topuria u omalley etc ellos I caen mal y no los considero muy clmpletos,3
