id,text_clean,text_emojis_mapped,text_lemma,n_tokens
0,jon jones is the goat  it is so unbelievably hard what he did  he became champ at 23 and stay champion until today  he fought the best lightweight champions in their primes  he is a double champ with multiple title defenses  lead in the history in title defenses  basically undefeated  congrat to jon jones,jon jones is the goat  it is so unbelievably hard what he did  he became champ at 23 and stay champion until today  he fought the best lightweight champions in their primes  he is a double champ with multiple title defenses  lead in the history in title defenses  basically undefeated  congrat to jon jones,jon jones be the goat it be so unbelievably hard what he do he become champ at 23 and stay champion until today he fight the good lightweight champion in their prime he be a double champ with multiple title defense lead in the history in title defense basically undefeated congrat to jon jones,54
1,you can sense the aggression from jon  dont touch me no friendly face off  he did not want tom to be there at all,you can sense the aggression from jon  dont touch me no friendly face off  he did not want tom to be there at all,you can sense the aggression from jon do not touch I no friendly face off he do not want tom to be there at all,25
2,i guess this answers the question    if you put jones and aspinall in a room who would come out first  the answer is tom  duck killa  aspinall,i guess this answers the question    if you put jones and aspinall in a room who would come out first  the answer is tom  duck killa  aspinall,I guess this answer the question if you put jones and aspinall in a room who would come out first the answer be tom duck killa aspinall,27
3,jones won the round but lost the fight,jones won the round but lost the fight,jones win the round but lose the fight,8
4,it doesn t matter anyway jon  you beat his ass😂😂his kids can look back now and say their dad got beat up by an  asshole  sucks for him  not you🤝,it doesn t matter anyway jon  you beat his assemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyhis kids can look back now and say their dad got beat up by an  asshole  sucks for him  not youemoji_handshake,it doesn t matter anyway jon you beat his assemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyhis kid can look back now and say their dad get beat up by an asshole suck for he not youemoji_handshake,30
5,dc is one of the few people on earth that could tank a bomb or takedown from bones lol,dc is one of the few people on earth that could tank a bomb or takedown from bones lol,dc be one of the few people on earth that could tank a bomb or takedown from bone lol,19
6,no knees were down   i don t see how it was illegal  i do however see alot of jones haters in these comments though,no knees were down   i don t see how it was illegal  i do however see alot of jones haters in these comments though,no knee be down I don t see how it be illegal I do however see alot of jones hater in these comment though,24
7,ngannou aspinall,ngannou aspinall,ngannou aspinall,2
8,rip💙,ripemoji_blue_heart,ripemoji_blue_heart,1
9,jon could easily kill him if there was no referee,jon could easily kill him if there was no referee,jon could easily kill he if there be no referee,10
10,jon had years to fight francis and didn t   he s lying   he s happy to talk about a fight  knowing that francis is currently under contract with pfl  so jon can talk without actually fighting   that s what he does now,jon had years to fight francis and didn t   he s lying   he s happy to talk about a fight  knowing that francis is currently under contract with pfl  so jon can talk without actually fighting   that s what he does now,jon have year to fight francis and didn t he s lie he s happy to talk about a fight know that francis be currently under contract with pfl so jon can talk without actually fight that s what he do now,42
11,man looks older than udonis,man looks older than udonis,man look old than udoni,5
12,he is a quitter a lot of people wish they were in his position shame on him for even competing in this sport,he is a quitter a lot of people wish they were in his position shame on him for even competing in this sport,he be a quitter a lot of people wish they be in his position shame on he for even compete in this sport,23
13,this fight should have never happened  jones was x3 faster,this fight should have never happened  jones was x3 faster,this fight should have never happen jones be x3 fast,10
14,"jon bones siempre me ha precido una mi3rda de persona y siempre lo quiero ver perder  pero es taan bueno y completo en su combate que a fin de cuentas lo termino respetando mucho 

nada que ver con conor o topuria  u omalley  etc  ellos me caen mal y no los considero muy clmpletos","jon bones siempre me ha precido una mi3rda de persona y siempre lo quiero ver perder  pero es taan bueno y completo en su combate que a fin de cuentas lo termino respetando mucho 

nada que ver con conor o topuria  u omalley  etc  ellos me caen mal y no los considero muy clmpletos",jon bone siempre I ha precido una mi3rda de persona y siempre lo quiero ver perder pero es taan bueno y completo en su combate que a fin de cuentas lo termino respetando mucho nada que ver con conor o topuria u omalley etc ellos I caen mal y no los considero muy clmpletos,54
