id,text,label,notes
0,Jon Jones is the GOAT. It is so unbelievably hard what he did. He became champ at 23 and stay champion until today. He fought the best lightweight champions in their primes. He is a double champ with multiple title defenses. Lead in the history in title defenses. Basically undefeated. Congrat to Jon Jones.,,representative
1,"You can sense the aggression from Jon, dont touch me no friendly face off. He did not want Tom to be there at all.",,ambiguous
2,"I guess this answers the question, "" If you put Jones and Aspinall in a room who would come out first?"" The Answer is Tom ""Duck Killa"" Aspinall.",,representative
3,Jones won the round but lost the fight,,ambiguous
4,"It doesn’t matter anyway jon, you beat his ass😂😂his kids can look back now and say their dad got beat up by an “asshole” sucks for him, not you🤝",,representative
5,Dc is one of the few people on earth that could tank a bomb or takedown from bones lol,,ambiguous
6,No knees were down ... I don't see how it was illegal.... I do however see alot of Jones haters in these comments though,,representative
7,Ngannou Aspinall,,ambiguous
8,RIP💙,,representative
9,Jon could easily kill him if there was no referee,,ambiguous
