id,text_lemma,tokens_no_stopwords
0,jon jones be the goat it be so unbelievably hard what he do he become champ at 23 and stay champion until today he fight the good lightweight champion in their prime he be a double champ with multiple title defense lead in the history in title defense basically undefeated congrat to jon jones,goat unbelievably hard champ 23 stay champion today fight good lightweight champion prime double champ multiple title defense lead history title defense basically undefeated congrat
1,you can sense the aggression from jon do not touch I no friendly face off he do not want tom to be there at all,sense aggression touch I friendly face want tom
2,I guess this answer the question if you put jones and aspinall in a room who would come out first the answer be tom duck killa aspinall,I guess answer question aspinall room come answer tom duck killa aspinall
3,jones win the round but lose the fight,win round lose fight
4,it doesn t matter anyway jon you beat his assemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyhis kid can look back now and say their dad get beat up by an asshole suck for he not youemoji_handshake,doesn t matter beat assemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyhis kid look say dad beat asshole suck youemoji_handshake
5,dc be one of the few people on earth that could tank a bomb or takedown from bone lol,dc people earth tank bomb takedown bone lol
6,no knee be down I don t see how it be illegal I do however see alot of jones hater in these comment though,knee I don t illegal I alot hater comment
7,ngannou aspinall,ngannou aspinall
8,ripemoji_blue_heart,ripemoji_blue_heart
9,jon could easily kill he if there be no referee,easily kill referee
10,jon have year to fight francis and didn t he s lie he s happy to talk about a fight know that francis be currently under contract with pfl so jon can talk without actually fight that s what he do now,year fight francis didn t s lie s happy talk fight know francis currently contract pfl talk actually fight s
11,man look old than udoni,man look old udoni
12,he be a quitter a lot of people wish they be in his position shame on he for even compete in this sport,quitter lot people wish position shame compete sport
13,this fight should have never happen jones be x3 fast,fight happen x3 fast
14,jon bone siempre I ha precido una mi3rda de persona y siempre lo quiero ver perder pero es taan bueno y completo en su combate que a fin de cuentas lo termino respetando mucho nada que ver con conor o topuria u omalley etc ellos I caen mal y no los considero muy clmpletos,bone siempre I ha precido una mi3rda persona y siempre lo quiero ver perder pero es taan bueno y completo en su combate que fin cuentas lo termino respetando mucho nada que ver conor o topuria u omalley ellos I caen mal y los considero muy clmpletos
15,and jones do everything he can to avoid it include retire himself emoji_smiling_face_with_open_mouth_and_cold_sweatemoji_smiling_face_with_open_mouth_and_cold_sweatemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,avoid include retire emoji_smiling_face_with_open_mouth_and_cold_sweatemoji_smiling_face_with_open_mouth_and_cold_sweatemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy
16,tell some idiot who compare ciryl can fight with francis ngannou tell they to compare jone jones fight with stipe now francis finish he in second round why stipe be not old as now shame to jone jones and his fan francis ngannou vs ciryl cane francis ngannou be even sick he have an operation on he s knee francis ngannou will kill jone jones,tell idiot compare ciryl fight francis ngannou tell compare jone fight stipe francis finish second round stipe old shame jone fan francis ngannou vs ciryl cane francis ngannou sick operation s knee francis ngannou kill jone
17,jon never beat chael wtf be this fake news,beat chael wtf fake news
18,this be why people love paddy,people love paddy
19,it s a fight let they knee jon jones the good ever,s fight let knee good
20,your dad and sister hate you your daughter want to change expensiv e,dad sister hate daughter want change expensiv e
21,no chance on beat fury or wilder,chance beat fury wilder
22,ok so do he call it,ok
23,чемпион чемпионов легенда,чемпион чемпионов легенда
24,I hope it s all hype to make the fight big and that he do end up fight tom I m not sure thou,I hope s hype make fight big end fight tom I m sure thou
25,that look on jon s face when they rob he in the mat hamil fight be a look we never see again jones loose jones ain t no looser,look s face rob mat hamil fight look loose ain t looser
26,real champ emoji_flexed_bicepsemoji_emoji_modifier_fitzpatrick_type_1_2,real champ emoji_flexed_bicepsemoji_emoji_modifier_fitzpatrick_type_1_2
27,the ufc should strip he of the belt or we all should start watch cage warrior and u no that song by cold play they wer all yellow emoji_smiling_face_with_open_mouth_and_cold_sweat,strip belt start watch cage warrior u song cold play wer yellow emoji_smiling_face_with_open_mouth_and_cold_sweat
28,and look at he now a proper emoji_duck,look proper emoji_duck
29,wow upload by the ufc thank you,wow upload thank
30,легенда,легенда
31,if reyes hadn t lose that fight he would have be a bonafide star of ufc,reyes hadn t lose fight bonafide star
