id,text_lemma,compound,label
1501,like connor once tell chandler you ll do as you re tell no one be pay to watch a tom aspinall main event as the paper champion,0.5859,positive
2586,this dude be the fucking goat emoji_goatemoji_goatemoji_goat,0.0,neutral
2653,jon jones be so good at run from thing smh,0.3488,positive
1055,I rarely say this I agree with jon jon be push up to heavyweight he go do what dana want I never understand he go to heavyweight what s the point he s the undisputed all time light heavyweight king he dominate there now there s a new guy who s at light heavy who s get the strap and be bad as f ck why not have the all time king of that division fight the current strap holder same age size aspinall will find someone,-0.5307,negative
705,I don t think I have ever want an mma fighter to do as well as I do for tom aspinall what a great guy,0.7964,positive
106,I think my audio be break all I hear be quack quack,0.0,neutral
589,main reason why jones be domanant over most of his oppoent be cause of his size and height mostly his height the majority of his opponent be just simply short than he so he have the reach advantage he be always almost within reach but just shy of it by his opponent notice that when he fight opponent that be his height he have a lot of trouble with they wait till he be heavyweight and most the opponent be his size and height win ain t go to come so easy then,0.5364,positive
2468,emoji_goat with or without the coke emoji_face_with_tears_of_joy,0.0,neutral
2413,when the mind give so do the body,0.0,neutral
1600,diaz always make trouble if not he s not diaz hahaha,-0.6832,negative
2464,jon junkie jones,0.0,neutral
228,people who hate on jones don t know shit about fight,-0.872,negative
915,derick lewis stful,0.0,neutral
794,fedor be my goat fedor would never do somr shit like this jon have tweet more in the last couple week than fedor say his entire career,0.6623,positive
3021,damn he really do not want to acknowledge tom,-0.4915,negative
3543,bone be truly the ultimate champion never lose,0.8425,positive
1073,first I would take a tremendous amount of steroid and then bone,0.0,neutral
3351,my man keep it emoji_hundred_points_symbol get to dig that,0.0,neutral
1744,day 1,0.0,neutral
1084,russians be dumb,-0.5106,negative
926,dana look like a melt candle when he answer question that make he uncomfortable,-0.0258,neutral
3049,you aren t,0.0,neutral
1117,man now I see the true color s of the ufc fan be racist you all couldn t wait to see he fail,-0.5267,negative
642,I ll fight tom for 3 45 billion make it happen dana,-0.3818,negative
4767,the eye poke really doesn t matter stipe be win the fight at that point if cormier have not be able to continue stipe would still win give the way the judge be rule the round obviously it do not handicap cormi because he still perform competitively for the remainder of the fight,0.5829,positive
501,jon jones be an american hero,0.5574,positive
4066,tom aspinotatall,0.0,neutral
333,who be this guy,0.0,neutral
4684,the real heavyweight champ,0.4767,positive
486,he drink and eat pork and call jesus his saviour what an irony,-0.0516,negative
1962,do he teach they the eyepoke though,0.0,neutral
393,nope you re not you ll see,0.0,neutral
4842,this guy can play owen hart in a movie emoji_flushed_face just change his voice a bit,0.34,positive
4866,people think some random who hasn t beat anyone can beat he emoji_face_with_tears_of_joy,0.0,neutral
1755,jj be the good fighter to ever do it hand down,0.8271,positive
2515,bro get the fight spirit beat out of he,-0.2263,negative
3585,he s duck because he s wash and his ego be too big to cope with reality,0.0,neutral
4315,let go,0.0,neutral
4966,I like how he look for he I think that would be a mistake by daniel,0.0258,neutral
2099,more retired about to retire guy or guy from lhw from whom he s much big strong now,0.5106,positive
3599,gustafsson still beat jones the first time,0.0,neutral
